anime_id,name,genre,type,episodes,rating,members
2246,b'Mononoke',"['Fantasy', 'Horror', 'Mystery', 'Supernatural']",TV,12,8.43,278072
33255,b'Saiki Kusuo no \xce\xa8-nan',"['Comedy', 'Supernatural']",TV,120,8.43,921131
37105,b'Grand Blue',['Comedy'],TV,12,8.43,642121
38889,b'Kono Oto Tomare! Part 2',"['Drama', 'Romance']",TV,13,8.43,138873
467,b'Koukaku Kidoutai: Stand Alone Complex',"['Action', 'Sci-Fi']",TV,26,8.43,366212
5028,b'Major S5',"['Comedy', 'Drama', 'Romance', 'Sports']",TV,25,8.42,65573
36538,b'Natsume Yuujinchou Movie: Utsusemi ni Musubu',"['Drama', 'Slice of Life', 'Supernatural']",Movie,1,8.41,60590
48653,b'Yoru ni Kakeru',[],Music,1,8.42,13231
35851,b'Sayonara no Asa ni Yakusoku no Hana wo Kazarou',"['Drama', 'Fantasy']",Movie,1,8.41,359131
25781,b'Shingeki no Kyojin: Kuinaki Sentaku',['Action'],OVA,2,8.41,448392
39741,b'Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou',"['Drama', 'Fantasy', 'Slice of Life']",Movie,1,8.41,336278
5205,b'Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go)',"['Action', 'Mystery', 'Romance', 'Supernatural', 'Suspense']",Movie,1,8.41,190868
14397,b'Chihayafuru 2',"['Drama', 'Slice of Life', 'Sports']",TV,25,8.4,214570
5941,b'Cross Game',"['Drama', 'Romance', 'Sports']",TV,50,8.4,114861
32366,b'Gintama\xc2\xb0: Aizome Kaori-hen',['Comedy'],OVA,2,8.4,75135
35557,b'Houseki no Kuni (TV)',"['Action', 'Drama', 'Fantasy', 'Mystery']",TV,12,8.4,391669
136,b'Hunter x Hunter',"['Action', 'Adventure', 'Fantasy']",TV,62,8.4,522989
37999,b'Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen',['Comedy'],TV,12,8.4,1425722
37965,b'Kaze ga Tsuyoku Fuiteiru',"['Drama', 'Sports']",TV,23,8.4,262000
36275,b'Natsume Yuujinchou Roku Specials',"['Drama', 'Slice of Life', 'Supernatural']",Special,2,8.4,40382
39808,b'Non Non Biyori Nonstop',['Slice of Life'],TV,12,8.4,102650
39551,b'Tensei shitara Slime Datta Ken 2nd Season',"['Action', 'Adventure', 'Comedy', 'Fantasy']",TV,12,8.4,736901
40730,b'Tian Guan Ci Fu',"['Action', 'Adventure', 'Drama', 'Supernatural']",ONA,11,8.39,95535
31646,b'3-gatsu no Lion',"['Drama', 'Slice of Life']",TV,22,8.39,606753
22789,b'Barakamon',['Slice of Life'],TV,12,8.39,599514
41025,b'Fumetsu no Anata e',"['Adventure', 'Drama', 'Supernatural']",TV,20,8.39,682246
49926,b'Kimetsu no Yaiba: Mugen Ressha-hen',"['Action', 'Fantasy']",TV,7,8.39,434903
2251,b'Baccano!',"['Action', 'Comedy', 'Mystery', 'Supernatural']",TV,13,8.38,831409
5,b'Cowboy Bebop: Tengoku no Tobira',"['Action', 'Sci-Fi']",Movie,1,8.38,334544
48661,b'JoJo no Kimyou na Bouken Part 6: Stone Ocean',"['Action', 'Adventure']",ONA,12,8.38,339085
30709,b'Kamisama Hajimemashita: Kako-hen',"['Comedy', 'Fantasy', 'Romance', 'Supernatural']",OVA,4,8.38,146055
9260,b'Kizumonogatari I: Tekketsu-hen',[],Movie,1,8.38,470424
50380,b'Paripi Koumei',[],TV,12,8.38,150645
47194,b'Summertime Render',"['Mystery', 'Supernatural', 'Suspense']",TV,25,8.38,186094
10162,b'Usagi Drop',['Slice of Life'],TV,11,8.38,453860
39547,b'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan',"['Comedy', 'Romance']",TV,12,8.38,605302
11979,b'Mahou Shoujo Madoka\xe2\x98\x85Magica Movie 2: Eien no Monogatari',"['Drama', 'Suspense']",Movie,1,8.37,185553
39535,b'Mushoku Tensei: Isekai Ittara Honki Dasu',"['Drama', 'Fantasy', 'Ecchi']",TV,11,8.37,942781
39587,b'Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season',"['Drama', 'Fantasy', 'Suspense']",TV,13,8.37,934766
48736,b'Sono Bisque Doll wa Koi wo Suru',"['Romance', 'Slice of Life']",TV,12,8.37,683842
572,b'Kaze no Tani no Nausica\xc3\xa4',"['Adventure', 'Fantasy']",Movie,1,8.37,330414
39247,b'Kobayashi-san Chi no Maid Dragon S',"['Fantasy', 'Slice of Life']",TV,12,8.37,446248
10030,b'Bakuman. 2nd Season',"['Comedy', 'Drama', 'Romance']",TV,25,8.36,328450
38883,b'Haikyuu!! To the Top',['Sports'],TV,13,8.36,774529
777,b'Hellsing Ultimate',"['Action', 'Horror', 'Supernatural']",OVA,10,8.36,820349
44042,b'Holo no Graffiti',['Comedy'],ONA,,8.36,45750
9756,b'Mahou Shoujo Madoka\xe2\x98\x85Magica',"['Drama', 'Suspense']",TV,12,8.36,1154604
13601,b'Psycho-Pass',"['Action', 'Sci-Fi', 'Suspense']",TV,22,8.35,1466407
6945,b'Gintama: Shiroyasha Koutan',"['Action', 'Comedy', 'Sci-Fi']",Special,1,8.35,63201
39533,b'Given',"['Boys Love', 'Drama', 'Romance', 'Slice of Life']",TV,11,8.35,469017
9617,b'K-On! Movie',"['Comedy', 'Slice of Life']",Movie,1,8.35,294502
17389,b'Kingdom 2nd Season',['Action'],TV,39,8.35,103013
22535,b'Kiseijuu: Sei no Kakuritsu',"['Action', 'Horror', 'Sci-Fi']",TV,24,8.35,1636938
49909,b'Kotarou wa Hitorigurashi',"['Comedy', 'Slice of Life']",ONA,10,8.34,76773
37515,b'Made in Abyss Movie 2: Hourou Suru Tasogare',"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",Movie,1,8.35,94758
